id,pb,pb_location,bp_mob,bp_lvl,bp_location,type,slot,line,ql,itemid
652,"Ground Chief Vortexx","LoX Hub","LoX Boss",300,"LoX Hub SE corner",Artillery,Waist,Beta,300,278902
653,"Ground Chief Vortexx","LoX Hub","LoX Boss",300,"LoX Hub SE corner",Control,Waist,Beta,300,279019
654,"Ground Chief Vortexx","LoX Hub","LoX Boss",300,"LoX Hub SE corner",Extermination,Waist,Beta,300,279032
655,"Ground Chief Vortexx","LoX Hub","LoX Boss",300,"LoX Hub SE corner",Infantry,Waist,Beta,300,279045
656,"Ground Chief Vortexx","LoX Hub","LoX Boss",300,"LoX Hub SE corner",Support,Waist,Beta,300,279058
657,"Ground Chief Vortexx","LoX Hub","LoX Boss",300,"LoX Hub SE corner",Artillery,"Right Wrist",Beta,300,278901
658,"Ground Chief Vortexx","LoX Hub","LoX Boss",300,"LoX Hub SE corner",Control,"Right Wrist",Beta,300,279018
659,"Ground Chief Vortexx","LoX Hub","LoX Boss",300,"LoX Hub SE corner",Extermination,"Right Wrist",Beta,300,279031
660,"Ground Chief Vortexx","LoX Hub","LoX Boss",300,"LoX Hub SE corner",Infantry,"Right Wrist",Beta,300,279044
661,"Ground Chief Vortexx","LoX Hub","LoX Boss",300,"LoX Hub SE corner",Support,"Right Wrist",Beta,300,279057
662,"Technomaster Sinuh","LoX Hub","LoX Boss",300,"LoX Hub SW corner",Artillery,"Left Hand",Beta,300,278897
663,"Technomaster Sinuh","LoX Hub","LoX Boss",300,"LoX Hub SW corner",Control,"Left Hand",Beta,300,279014
664,"Technomaster Sinuh","LoX Hub","LoX Boss",300,"LoX Hub SW corner",Extermination,"Left Hand",Beta,300,279027
665,"Technomaster Sinuh","LoX Hub","LoX Boss",300,"LoX Hub SW corner",Infantry,"Left Hand",Beta,300,279040
666,"Technomaster Sinuh","LoX Hub","LoX Boss",300,"LoX Hub SW corner",Support,"Left Hand",Beta,300,279053
667,"Deranged Xan","LoX Hub","LoX Boss",300,"LoX Hub South",Artillery,Thigh,Beta,300,278903
668,"Deranged Xan","LoX Hub","LoX Boss",300,"LoX Hub South",Control,Thigh,Beta,300,279020
669,"Deranged Xan","LoX Hub","LoX Boss",300,"LoX Hub South",Extermination,Thigh,Beta,300,279033
670,"Deranged Xan","LoX Hub","LoX Boss",300,"LoX Hub South",Infantry,Thigh,Beta,300,279046
671,"Deranged Xan","LoX Hub","LoX Boss",300,"LoX Hub South",Support,Thigh,Beta,300,279059
672,"Deranged Xan","LoX Hub","LoX Boss",300,"LoX Hub South",Artillery,"Right Hand",Beta,300,278900
673,"Deranged Xan","LoX Hub","LoX Boss",300,"LoX Hub South",Control,"Right Hand",Beta,300,279017
674,"Deranged Xan","LoX Hub","LoX Boss",300,"LoX Hub South",Extermination,"Right Hand",Beta,300,279030
675,"Deranged Xan","LoX Hub","LoX Boss",300,"LoX Hub South",Infantry,"Right Hand",Beta,300,279043
676,"Deranged Xan","LoX Hub","LoX Boss",300,"LoX Hub South",Support,"Right Hand",Beta,300,279056
677,"Deranged Xan","LoX Hub","LoX Boss",300,"LoX Hub South",Artillery,Feet,Beta,300,278904
678,"Deranged Xan","LoX Hub","LoX Boss",300,"LoX Hub South",Control,Feet,Beta,300,279021
679,"Deranged Xan","LoX Hub","LoX Boss",300,"LoX Hub South",Extermination,Feet,Beta,300,279034
680,"Deranged Xan","LoX Hub","LoX Boss",300,"LoX Hub South",Infantry,Feet,Beta,300,279047
681,"Deranged Xan","LoX Hub","LoX Boss",300,"LoX Hub South",Support,Feet,Beta,300,279060
682,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Artillery,Ocular,Intelligent,300,219139
683,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Control,Ocular,Intelligent,300,236299
684,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Extermination,Ocular,Intelligent,300,235849
685,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Infantry,Ocular,Intelligent,300,235631
686,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Support,Ocular,Intelligent,300,236074
687,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Artillery,Brain,Intelligent,300,235422
688,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Control,Brain,Intelligent,300,236314
689,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Extermination,Brain,Intelligent,300,235866
690,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Infantry,Brain,Intelligent,300,235646
691,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Support,Brain,Intelligent,300,236091
692,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Artillery,Ear,Intelligent,300,235440
693,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Control,Ear,Intelligent,300,236331
694,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Extermination,Ear,Intelligent,300,235883
695,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Infantry,Ear,Intelligent,300,235663
696,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Support,Ear,Intelligent,300,236108
697,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Artillery,"Left Arm",Intelligent,300,235492
698,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Control,"Left Arm",Intelligent,300,236384
699,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Extermination,"Left Arm",Intelligent,300,235935
700,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Infantry,"Left Arm",Intelligent,300,235713
701,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Support,"Left Arm",Intelligent,300,236164
702,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Artillery,Chest,Intelligent,300,235475
703,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Control,Chest,Intelligent,300,236366
704,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Extermination,Chest,Intelligent,300,235918
705,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Infantry,Chest,Intelligent,300,235696
706,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Support,Chest,Intelligent,300,236143
707,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Artillery,"Right Arm",Intelligent,300,235457
708,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Control,"Right Arm",Intelligent,300,236349
709,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Extermination,"Right Arm",Intelligent,300,235901
710,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Infantry,"Right Arm",Intelligent,300,235680
711,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Support,"Right Arm",Intelligent,300,236124
712,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Artillery,"Left Wrist",Intelligent,300,235544
713,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Control,"Left Wrist",Intelligent,300,236437
714,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Extermination,"Left Wrist",Intelligent,300,235987
715,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Infantry,"Left Wrist",Intelligent,300,235763
716,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Support,"Left Wrist",Intelligent,300,236218
717,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Artillery,Waist,Intelligent,300,235527
718,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Control,Waist,Intelligent,300,236420
719,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Extermination,Waist,Intelligent,300,235969
720,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Infantry,Waist,Intelligent,300,235746
721,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Support,Waist,Intelligent,300,236200
722,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Artillery,"Right Wrist",Intelligent,300,235509
723,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Control,"Right Wrist",Intelligent,300,236402
724,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Extermination,"Right Wrist",Intelligent,300,235952
725,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Infantry,"Right Wrist",Intelligent,300,235729
726,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Support,"Right Wrist",Intelligent,300,236183
727,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Artillery,"Left Hand",Intelligent,300,235596
728,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Control,"Left Hand",Intelligent,300,236489
729,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Extermination,"Left Hand",Intelligent,300,236040
730,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Infantry,"Left Hand",Intelligent,300,235815
731,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Support,"Left Hand",Intelligent,300,236268
732,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Artillery,Thigh,Intelligent,300,235579
733,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Control,Thigh,Intelligent,300,236473
734,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Extermination,Thigh,Intelligent,300,236023
735,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Infantry,Thigh,Intelligent,300,235798
736,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Support,Thigh,Intelligent,300,236252
737,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Artillery,"Right Hand",Intelligent,300,235562
738,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Control,"Right Hand",Intelligent,300,236455
739,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Extermination,"Right Hand",Intelligent,300,236005
740,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Infantry,"Right Hand",Intelligent,300,235781
741,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Support,"Right Hand",Intelligent,300,236235
742,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Artillery,Feet,Intelligent,300,235614
743,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Control,Feet,Intelligent,300,236505
744,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Extermination,Feet,Intelligent,300,236057
745,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Infantry,Feet,Intelligent,300,235833
746,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Support,Feet,Intelligent,300,236284
747,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Control,"Right Hand",Excited,250,236454
748,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Control,"Left Hand",Effective,240,236486
749,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Control,Thigh,Excited,250,236471
750,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Control,Feet,Excited,250,236503
751,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Control,Waist,Vital,260,236418
752,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Control,Feet,Cognizant,270,236504
753,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Control,"Left Arm",Cognizant,270,236383
754,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Control,"Right Wrist",Cognizant,270,236400
755,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Control,Chest,Alert,280,236365
756,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Control,"Left Hand",Alert,280,236488
757,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Control,"Right Wrist",Conscious,290,236401
758,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Control,"Left Wrist",Conscious,290,236436
759,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Artillery,Chest,Vital,260,235473
760,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Artillery,"Left Arm",Conscious,290,235491
761,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Artillery,Waist,Conscious,290,235526
762,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Artillery,Thigh,Alert,280,235577
763,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Artillery,Thigh,Conscious,290,235578
764,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Artillery,Feet,Conscious,290,235613
765,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Artillery,"Right Hand",Alert,280,235561
766,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Artillery,Chest,Conscious,290,235474
767,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Control,Ear,Cognizant,270,236330
768,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Control,"Right Arm",Cognizant,270,236348
769,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Control,Thigh,Conscious,290,236472
770,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Extermination,Brain,Cognizant,270,235865
771,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Extermination,Ear,Cognizant,270,235882
772,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Extermination,"Right Arm",Vital,260,235898
773,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Extermination,"Right Arm",Conscious,290,235900
774,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Extermination,"Left Arm",Alert,280,235934
775,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Extermination,Waist,Conscious,290,235968
776,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Extermination,"Left Wrist",Persisting,220,235983
777,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Extermination,"Left Wrist",Excited,250,235984
778,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Extermination,"Right Hand",Conscious,290,236004
779,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Extermination,Thigh,Cognizant,270,236021
780,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Extermination,Thigh,Conscious,290,236022
781,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Extermination,"Left Hand",Persisting,220,236036
782,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Extermination,"Left Hand",Effective,240,236037
783,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Extermination,"Left Hand",Alert,280,236038
784,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Extermination,"Left Hand",Conscious,290,236039
785,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Infantry,"Right Wrist",Alert,280,235727
786,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Infantry,"Right Wrist",Conscious,290,235728
787,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Infantry,"Left Wrist",Conscious,290,235762
788,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Infantry,Thigh,Cognizant,270,235797
789,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Infantry,"Left Hand",Conscious,290,235814
790,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Infantry,Feet,Cognizant,270,235831
791,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Support,"Right Arm",Conscious,290,236123
792,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Support,Chest,Conscious,290,236142
793,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Support,"Left Arm",Vital,260,236161
794,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Infantry,Feet,Conscious,290,235832
795,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Artillery,Ocular,Conscious,290,219138
796,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Artillery,Brain,Conscious,290,235421
797,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Artillery,"Left Wrist",Conscious,290,235543
798,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Control,"Left Arm",Effective,240,236380
799,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Extermination,Ear,Excited,250,235881
800,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Extermination,Feet,Effective,240,236053
801,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Extermination,"Right Arm",Excited,250,235897
802,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Extermination,"Right Arm",Alert,280,235899
803,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Extermination,Waist,Alert,280,235967
804,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Extermination,Chest,Conscious,290,235917
805,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Extermination,"Right Wrist",Conscious,290,235951
806,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Infantry,"Right Hand",Conscious,290,235780
807,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Infantry,Waist,Conscious,290,235745
808,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Support,Feet,Cognizant,270,236281
809,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Support,"Left Arm",Conscious,290,236163
810,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Support,Thigh,Conscious,290,236251
811,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Artillery,"Right Wrist",Cognizant,270,235508
812,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Control,"Left Hand",Excited,250,236487
813,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Extermination,"Left Arm",Excited,250,235932
814,"The Night Heart",Pandemonion,Zodiac,300,Pandemonium,Infantry,Brain,Conscious,290,235645
815,"Intelligent+Beta combine",Anywhere,"TNH+LoX boss",300,Anywhere,Artillery,Ocular,Alpha,300,278945
816,"Intelligent+Beta combine",Anywhere,"TNH+LoX boss",300,Anywhere,Control,Ocular,Alpha,300,278958
817,"Intelligent+Beta combine",Anywhere,"TNH+LoX boss",300,Anywhere,Extermination,Ocular,Alpha,300,278971
818,"Intelligent+Beta combine",Anywhere,"TNH+LoX boss",300,Anywhere,Infantry,Ocular,Alpha,300,278984
819,"Intelligent+Beta combine",Anywhere,"TNH+LoX boss",300,Anywhere,Support,Ocular,Alpha,300,278997
820,"Intelligent+Beta combine",Anywhere,"TNH+LoX boss",300,Anywhere,Artillery,Brain,Alpha,300,278944
821,"Intelligent+Beta combine",Anywhere,"TNH+LoX boss",300,Anywhere,Control,Brain,Alpha,300,278957
822,"Intelligent+Beta combine",Anywhere,"TNH+LoX boss",300,Anywhere,Extermination,Brain,Alpha,300,278970
823,"Intelligent+Beta combine",Anywhere,"TNH+LoX boss",300,Anywhere,Infantry,Brain,Alpha,300,278983
824,"Intelligent+Beta combine",Anywhere,"TNH+LoX boss",300,Anywhere,Support,Brain,Alpha,300,278996
825,"Intelligent+Beta combine",Anywhere,"TNH+LoX boss",300,Anywhere,Artillery,Ear,Alpha,300,278946
826,"Intelligent+Beta combine",Anywhere,"TNH+LoX boss",300,Anywhere,Control,Ear,Alpha,300,278959
827,"Intelligent+Beta combine",Anywhere,"TNH+LoX boss",300,Anywhere,Extermination,Ear,Alpha,300,278972
828,"Intelligent+Beta combine",Anywhere,"TNH+LoX boss",300,Anywhere,Infantry,Ear,Alpha,300,278985
829,"Intelligent+Beta combine",Anywhere,"TNH+LoX boss",300,Anywhere,Support,Ear,Alpha,300,278998
830,"Intelligent+Beta combine",Anywhere,"TNH+LoX boss",300,Anywhere,Artillery,"Left Arm",Alpha,300,278948
831,"Intelligent+Beta combine",Anywhere,"TNH+LoX boss",300,Anywhere,Control,"Left Arm",Alpha,300,278961
832,"Intelligent+Beta combine",Anywhere,"TNH+LoX boss",300,Anywhere,Extermination,"Left Arm",Alpha,300,278974
833,"Intelligent+Beta combine",Anywhere,"TNH+LoX boss",300,Anywhere,Infantry,"Left Arm",Alpha,300,278987
834,"Intelligent+Beta combine",Anywhere,"TNH+LoX boss",300,Anywhere,Support,"Left Arm",Alpha,300,279000
835,"Intelligent+Beta combine",Anywhere,"TNH+LoX boss",300,Anywhere,Artillery,Chest,Alpha,300,278947
836,"Intelligent+Beta combine",Anywhere,"TNH+LoX boss",300,Anywhere,Control,Chest,Alpha,300,278960
837,"Intelligent+Beta combine",Anywhere,"TNH+LoX boss",300,Anywhere,Extermination,Chest,Alpha,300,278973
838,"Intelligent+Beta combine",Anywhere,"TNH+LoX boss",300,Anywhere,Infantry,Chest,Alpha,300,278986
839,"Intelligent+Beta combine",Anywhere,"TNH+LoX boss",300,Anywhere,Support,Chest,Alpha,300,278999
840,"Intelligent+Beta combine",Anywhere,"TNH+LoX boss",300,Anywhere,Artillery,"Right Arm",Alpha,300,278951
841,"Intelligent+Beta combine",Anywhere,"TNH+LoX boss",300,Anywhere,Control,"Right Arm",Alpha,300,278964
842,"Intelligent+Beta combine",Anywhere,"TNH+LoX boss",300,Anywhere,Extermination,"Right Arm",Alpha,300,278977
843,"Intelligent+Beta combine",Anywhere,"TNH+LoX boss",300,Anywhere,Infantry,"Right Arm",Alpha,300,278990
844,"Intelligent+Beta combine",Anywhere,"TNH+LoX boss",300,Anywhere,Support,"Right Arm",Alpha,300,279003
845,"Intelligent+Beta combine",Anywhere,"TNH+LoX boss",300,Anywhere,Artillery,"Left Wrist",Alpha,300,278950
846,"Intelligent+Beta combine",Anywhere,"TNH+LoX boss",300,Anywhere,Control,"Left Wrist",Alpha,300,278963
847,"Intelligent+Beta combine",Anywhere,"TNH+LoX boss",300,Anywhere,Extermination,"Left Wrist",Alpha,300,278976
848,"Intelligent+Beta combine",Anywhere,"TNH+LoX boss",300,Anywhere,Infantry,"Left Wrist",Alpha,300,278989
849,"Intelligent+Beta combine",Anywhere,"TNH+LoX boss",300,Anywhere,Support,"Left Wrist",Alpha,300,279002
850,"Intelligent+Beta combine",Anywhere,"TNH+LoX boss",300,Anywhere,Artillery,Waist,Alpha,300,278954
851,"Intelligent+Beta combine",Anywhere,"TNH+LoX boss",300,Anywhere,Control,Waist,Alpha,300,278967
852,"Intelligent+Beta combine",Anywhere,"TNH+LoX boss",300,Anywhere,Extermination,Waist,Alpha,300,278980
853,"Intelligent+Beta combine",Anywhere,"TNH+LoX boss",300,Anywhere,Infantry,Waist,Alpha,300,278993
854,"Intelligent+Beta combine",Anywhere,"TNH+LoX boss",300,Anywhere,Support,Waist,Alpha,300,279006
855,"Intelligent+Beta combine",Anywhere,"TNH+LoX boss",300,Anywhere,Artillery,"Right Wrist",Alpha,300,278953
856,"Intelligent+Beta combine",Anywhere,"TNH+LoX boss",300,Anywhere,Control,"Right Wrist",Alpha,300,278966
857,"Intelligent+Beta combine",Anywhere,"TNH+LoX boss",300,Anywhere,Extermination,"Right Wrist",Alpha,300,278979
858,"Intelligent+Beta combine",Anywhere,"TNH+LoX boss",300,Anywhere,Infantry,"Right Wrist",Alpha,300,278992
859,"Intelligent+Beta combine",Anywhere,"TNH+LoX boss",300,Anywhere,Support,"Right Wrist",Alpha,300,279005
860,"Intelligent+Beta combine",Anywhere,"TNH+LoX boss",300,Anywhere,Artillery,"Left Hand",Alpha,300,278949
861,"Intelligent+Beta combine",Anywhere,"TNH+LoX boss",300,Anywhere,Control,"Left Hand",Alpha,300,278962
862,"Intelligent+Beta combine",Anywhere,"TNH+LoX boss",300,Anywhere,Extermination,"Left Hand",Alpha,300,278975
863,"Intelligent+Beta combine",Anywhere,"TNH+LoX boss",300,Anywhere,Infantry,"Left Hand",Alpha,300,278988
864,"Intelligent+Beta combine",Anywhere,"TNH+LoX boss",300,Anywhere,Support,"Left Hand",Alpha,300,279001
865,"Intelligent+Beta combine",Anywhere,"TNH+LoX boss",300,Anywhere,Artillery,Thigh,Alpha,300,278955
866,"Intelligent+Beta combine",Anywhere,"TNH+LoX boss",300,Anywhere,Control,Thigh,Alpha,300,278968
867,"Intelligent+Beta combine",Anywhere,"TNH+LoX boss",300,Anywhere,Extermination,Thigh,Alpha,300,278981
868,"Intelligent+Beta combine",Anywhere,"TNH+LoX boss",300,Anywhere,Infantry,Thigh,Alpha,300,278994
869,"Intelligent+Beta combine",Anywhere,"TNH+LoX boss",300,Anywhere,Support,Thigh,Alpha,300,279007
870,"Intelligent+Beta combine",Anywhere,"TNH+LoX boss",300,Anywhere,Artillery,"Right Hand",Alpha,300,278952
871,"Intelligent+Beta combine",Anywhere,"TNH+LoX boss",300,Anywhere,Control,"Right Hand",Alpha,300,278965
872,"Intelligent+Beta combine",Anywhere,"TNH+LoX boss",300,Anywhere,Extermination,"Right Hand",Alpha,300,278978
873,"Intelligent+Beta combine",Anywhere,"TNH+LoX boss",300,Anywhere,Infantry,"Right Hand",Alpha,300,278991
874,"Intelligent+Beta combine",Anywhere,"TNH+LoX boss",300,Anywhere,Support,"Right Hand",Alpha,300,279004
875,"Intelligent+Beta combine",Anywhere,"TNH+LoX boss",300,Anywhere,Artillery,Feet,Alpha,300,278956
876,"Intelligent+Beta combine",Anywhere,"TNH+LoX boss",300,Anywhere,Control,Feet,Alpha,300,278969
877,"Intelligent+Beta combine",Anywhere,"TNH+LoX boss",300,Anywhere,Extermination,Feet,Alpha,300,278982
878,"Intelligent+Beta combine",Anywhere,"TNH+LoX boss",300,Anywhere,Infantry,Feet,Alpha,300,278995
879,"Intelligent+Beta combine",Anywhere,"TNH+LoX boss",300,Anywhere,Support,Feet,Alpha,300,279008
880,"Nematet the Subjugator of Time","TOTW Raid","Boss",300,"Central path",Special,Ocular,Special,1,305507
881,"Nematet the Subjugator of Time","TOTW Raid","Boss",300,"Central path",Special,Left Wrist,Special,1,305505
882,"Nematet the Subjugator of Time","TOTW Raid","Boss",300,"Central path",Special,Ocular,Special,1,305510
883,"Nematet the Subjugator of Time","TOTW Raid","Boss",300,"Central path",Special,Chest,Special,1,305509
884,"Nematet the Subjugator of Time","TOTW Raid","Boss",300,"Central path",Special,Left Wrist,Special,1,305513
885,"Nematet the Subjugator of Time","TOTW Raid","Boss",300,"Central path",Special,Brain,Special,1,305504
886,"Gartua the Gate Guardian","TOTW Raid","Boss",300,"Right path",Special,Chest,Special,1,305509
887,"Gartua the Gate Guardian","TOTW Raid","Boss",300,"Right path",Special,Waist,Special,1,305508
888,"Gartua the Doorkeeper","TOTW","Boss",300,"Right path",Special,Waist,Special,1,204650
889,"Nematet the Custodian of Time","TOTW","Boss",300,"Central path",Special,Ocular,Special,1,204613
890,"Nematet the Custodian of Time","TOTW","Boss",300,"Central path",Special,Brain,Special,1,204647
891,"Nematet the Custodian of Time","TOTW","Boss",300,"Central path",Special,Right Arm,Special,1,204651
892,"Aztur the Immortal","TOTW","Boss",300,"Central path",Special,Brain,Special,1,204647
893,"Defender of the Three","TOTW","Boss",300,"Central hall",Special,Left Wrist,Special,1,204649
894,"The Curator","TOTW","Boss",300,"Central path",Special,Right Arm,Special,1,204651
895,"Dominus Ummoh the Pedagogue","Inner Sanctum","Side Boss",300,"Boss room",Special,Brain,Special,1,206246
896,"Hezak the Immortal","Inner Sanctum","Boss",300,"Boss room",Special,Brain,Special,1,206246
897,"Inobak the Gelid","Inner Sanctum","Boss",300,"Boss room",Special,Brain,Special,1,206246
898,"Inobak the Gelid","Inner Sanctum","Boss",300,"Boss room",Special,Left Wrist,Special,1,206247
